v1,V(n001),V(n002),Ic(Q1),Ib(Q1),Ie(Q1),I(I1),I(V1)
12.599999999999776,12.6,0.73783344,0.021050824,1e-04,-0.021150824,1e-04,-0.021050824
12.609999999999776,12.61,0.7378338,0.021052705,1e-04,-0.021152707,1e-04,-0.021052705
12.619999999999775,12.62,0.7378342,0.021054588,1e-04,-0.021154588,1e-04,-0.021054588
12.629999999999775,12.63,0.7378346,0.02105647,1e-04,-0.02115647,1e-04,-0.02105647
12.639999999999775,12.64,0.73783493,0.02105835,1e-04,-0.02115835,1e-04,-0.02105835
12.649999999999775,12.65,0.73783535,0.021060234,1e-04,-0.021160234,1e-04,-0.021060234
12.659999999999775,12.66,0.7378357,0.021062115,1e-04,-0.021162115,1e-04,-0.021062115
12.669999999999774,12.67,0.73783606,0.021063996,1e-04,-0.021163996,1e-04,-0.021063996
12.679999999999774,12.68,0.7378365,0.021065878,1e-04,-0.021165878,1e-04,-0.021065878
12.689999999999774,12.69,0.73783684,0.02106776,1e-04,-0.02116776,1e-04,-0.02106776
12.699999999999774,12.7,0.7378372,0.021069642,1e-04,-0.021169642,1e-04,-0.021069642
12.709999999999773,12.71,0.7378376,0.021071523,1e-04,-0.021171523,1e-04,-0.021071523
12.719999999999773,12.72,0.737838,0.021073405,1e-04,-0.021173405,1e-04,-0.021073405
12.729999999999773,12.73,0.7378383,0.021075288,1e-04,-0.021175288,1e-04,-0.021075288
12.739999999999773,12.74,0.73783875,0.02107717,1e-04,-0.021177169,1e-04,-0.02107717
